euring_code,scientific_name,year,index_pct,lower_cl,upper_cl,index_se,observation_records,occupied_cells,centroid_latitude,centroid_longitude,median_latitude,north_edge_latitude,annual_mean_temp_c,annual_precip_mm,breeding_mean_temp_c,breeding_precip_mm,temperature_anomaly_c,breeding_temperature_anomaly_c,polish_name,trend_long_pct,trend_10y_pct,long_term_start_year,long_term_slope,long_term_se,long_term_classification,ten_year_start_year,ten_year_slope,ten_year_slope_se,ten_year_classification,habitat,graph_note,population_change_pct,occupied_cells_change_pct
9920,Hirundo rustica,1984,95.4034968,74.258281996,116.548711604,10.7883749,5095,259,50.30501930501931,6.324324324324325,51.0,63.0,11.263263785394932,660.4727272727273,15.356706408345753,212.85454545454547,-0.8828482307920904,-1.3917213114754097,Jaskółka dymówka,-18.14,-20.5242718446602,1980,0.992079257,0.001626178,Moderate decline (p<0.01),2015,0.975333208,0.002529355,Moderate decline (p<0.01),farmland,,-5.3925735112848034,-15.63517915309446
9920,Hirundo rustica,1985,76.8293273,59.990845976,93.667808624,8.5910619,5089,311,50.2540192926045,8.739549839228296,51.0,63.0,10.68906600249066,617.1636363636363,15.86311475409836,206.41818181818184,-1.4570460136963632,-0.885312965722802,Jaskółka dymówka,-18.14,-20.5242718446602,1980,0.992079257,0.001626178,Moderate decline (p<0.01),2015,0.975333208,0.002529355,Moderate decline (p<0.01),farmland,,-19.46906572925532,20.077220077220083
9920,Hirundo rustica,1986,91.7710879,72.682173384,110.860002416,9.7392421,5076,363,50.79614325068871,10.024793388429751,51.0,64.0,11.11247820672478,620.9636363636364,16.150298062593144,199.0090909090909,-1.033633809462243,-0.5981296572280179,Jaskółka dymówka,-18.14,-20.5242718446602,1980,0.992079257,0.001626178,Moderate decline (p<0.01),2015,0.975333208,0.002529355,Moderate decline (p<0.01),farmland,,19.447990923643022,16.7202572347267
9920,Hirundo rustica,1987,85.4813256,67.483762604,103.478888596,9.1824301,5089,357,50.142857142857146,8.436974789915967,51.0,63.0,10.80505603985056,652.5727272727273,15.595007451564827,212.45454545454547,-1.3410559763364631,-1.1534202682563333,Jaskółka dymówka,-18.14,-20.5242718446602,1980,0.992079257,0.001626178,Moderate decline (p<0.01),2015,0.975333208,0.002529355,Moderate decline (p<0.01),farmland,,-6.853751485275783,-1.6528925619834656
9920,Hirundo rustica,1988,98.7961377,78.521741488,119.070533912,10.3440797,5097,326,51.282208588957054,7.552147239263804,51.5,64.0,11.625260804769,626.1545454545454,16.24552906110283,205.0090909090909,-0.520851211418023,-0.5028986587183333,Jaskółka dymówka,-18.14,-20.5242718446602,1980,0.992079257,0.001626178,Moderate decline (p<0.01),2015,0.975333208,0.002529355,Moderate decline (p<0.01),farmland,,15.576281727666608,-8.683473389355745
9920,Hirundo rustica,1989,174.0792064,126.200002412,221.958410388,24.4281653,5079,369,50.95121951219512,8.140921409214092,52.0,63.599999999999966,12.270236612702366,590.6727272727272,16.376900149031297,198.03636363636363,0.1241245965153421,-0.3715275707898655,Jaskółka dymówka,-18.14,-20.5242718446602,1980,0.992079257,0.001626178,Moderate decline (p<0.01),2015,0.975333208,0.002529355,Moderate decline (p<0.01),farmland,,76.20041679017984,13.190184049079743
9920,Hirundo rustica,1990,140.290606,106.35718284,174.22402916,17.312971,5092,365,50.14520547945205,7.843835616438356,51.0,63.0,12.236488169364884,562.2181818181817,16.293591654247393,181.62727272727275,0.0903761531778588,-0.4548360655737689,Jaskółka dymówka,-18.14,-20.5242718446602,1980,0.992079257,0.001626178,Moderate decline (p<0.01),2015,0.975333208,0.002529355,Moderate decline (p<0.01),farmland,,-19.409900296971948,-1.084010840108396
9920,Hirundo rustica,1991,118.8699913,91.958564688,145.781417912,13.7303197,5095,257,50.28793774319066,7.124513618677042,51.0,62.0,11.25247820672478,600.8363636363637,15.299925484351716,220.2636363636364,-0.8936338094622425,-1.448502235469446,Jaskółka dymówka,-18.14,-20.5242718446602,1980,0.992079257,0.001626178,Moderate decline (p<0.01),2015,0.975333208,0.002529355,Moderate decline (p<0.01),farmland,,-15.268744865212147,-29.58904109589041
9920,Hirundo rustica,1992,137.6415851,107.104283732,168.178886468,15.5802558,5092,323,50.588235294117645,8.06501547987616,51.0,63.0,11.737406855439644,533.9181818181819,16.145901639344263,184.98181818181817,-0.408705160747381,-0.602526080476899,Jaskółka dymówka,-18.14,-20.5242718446602,1980,0.992079257,0.001626178,Moderate decline (p<0.01),2015,0.975333208,0.002529355,Moderate decline (p<0.01),farmland,,15.791701164194482,25.680933852140075
9920,Hirundo rustica,1993,119.6579536,93.089757484,146.226149716,13.5552021,5091,351,50.43019943019943,8.863247863247864,51.0,63.0,11.254371108343712,595.4818181818182,16.11028315946349,203.25454545454548,-0.8917409078433121,-0.6381445603576736,Jaskółka dymówka,-18.14,-20.5242718446602,1980,0.992079257,0.001626178,Moderate decline (p<0.01),2015,0.975333208,0.002529355,Moderate decline (p<0.01),farmland,,-13.065551001126908,8.668730650154789
9920,Hirundo rustica,1994,133.2717708,102.03150622,164.51203538,15.9389105,5097,269,49.78438661710037,7.382899628252788,51.0,63.0,12.192229140722292,574.3727272727273,16.518032786885247,190.15454545454543,0.046117124535268,-0.2303949329359156,Jaskółka dymówka,-18.14,-20.5242718446602,1980,0.992079257,0.001626178,Moderate decline (p<0.01),2015,0.975333208,0.002529355,Moderate decline (p<0.01),farmland,,11.37727730620326,-23.361823361823365
9920,Hirundo rustica,1995,122.5029023,96.818338276,148.187466324,13.1043694,5098,357,50.53221288515406,8.35014005602241,51.0,63.0,11.945130759651308,598.3272727272728,16.494485842026823,176.71818181818182,-0.2009812565357158,-0.2539418777943396,Jaskółka dymówka,-18.14,-20.5242718446602,1980,0.992079257,0.001626178,Moderate decline (p<0.01),2015,0.975333208,0.002529355,Moderate decline (p<0.01),farmland,,-8.080382241007944,32.713754646840144
9920,Hirundo rustica,1996,155.5256743,123.658828688,187.392519912,16.2585947,5100,297,49.28282828282829,7.175084175084175,50.0,62.0,11.0123695976155,702.5545454545454,16.025409836065577,209.62727272727275,-1.133742418571524,-0.7230178837555847,Jaskółka dymówka,-18.14,-20.5242718446602,1980,0.992079257,0.001626178,Moderate decline (p<0.01),2015,0.975333208,0.002529355,Moderate decline (p<0.01),farmland,,26.95672623259961,-16.806722689075627
9920,Hirundo rustica,1997,128.3052935,101.949453388,154.661133612,13.4468572,5094,300,49.25333333333333,7.126666666666667,50.0,61.0,11.854869240348693,669.3727272727273,15.917660208643817,249.3090909090909,-0.2912427758383309,-0.8307675111773474,Jaskółka dymówka,-18.14,-20.5242718446602,1980,0.992079257,0.001626178,Moderate decline (p<0.01),2015,0.975333208,0.002529355,Moderate decline (p<0.01),farmland,,-17.502178288257053,1.0101010101010166
9920,Hirundo rustica,1998,120.9465662,99.912476536,141.980655864,10.7316784,5097,302,49.49337748344371,7.142384105960265,50.0,61.0,11.80002490660025,641.6636363636363,16.356110283159463,224.97272727272727,-0.3460871095867741,-0.392317436661699,Jaskółka dymówka,-18.14,-20.5242718446602,1980,0.992079257,0.001626178,Moderate decline (p<0.01),2015,0.975333208,0.002529355,Moderate decline (p<0.01),farmland,,-5.73532634489472,0.6666666666666599
